fuel_aer_NG,fuel_aer_DFO,fuel_aer_HYC,fuel_aer_SUN,fuel_aer_WND,fuel_aer_COL,fuel_aer_MLG,fuel_aer_NUC,mover_CT,mover_GT,mover_HY,mover_IC,mover_PV,mover_ST,mover_WT,state_CA,state_TX,state_NY,state_FL,state_MN,state_MI,state_NC,state_PA,state_MA,state_WI,state_NJ,state_IA,state_IL,state_OH,state_GA,state_WA,p_0,p_1,p_2,p_3,p_4,net_generation_MWh_n
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5324460229496562,1.4821613544184438,0.8887698409123425,-0.6020858809313347,1.0663196753664843,0.021419287859304796
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5324460229496562,1.4821613544184438,0.8887698409123425,-0.6020858809313347,1.0663196753664843,0.00048751074448022375
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5324460229496562,1.4821613544184438,0.8887698409123425,-0.6020858809313347,1.0663196753664843,0.0020320020210971754
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5324460229496562,1.4821613544184438,0.8887698409123425,-0.6020858809313347,1.0663196753664843,0.0002033432973687249
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5324460229496562,1.4821613544184438,0.8887698409123425,-0.6020858809313347,1.0663196753664843,0.00020882039176521328
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7659730478955613,-0.16632241636894687,1.0142446918692214,-1.4706033172868935,1.3717968705378272,0.15642556924774328
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9856988440604234,-0.14369851318748558,0.7565922988551762,0.002259723444595506,2.501324802777839,0.003904132097648205
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5324460229496562,1.4821613544184438,0.8887698409123425,-0.6020858809313347,1.0663196753664843,0.0005646341547659111
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5324460229496562,1.4821613544184438,0.8887698409123425,-0.6020858809313347,1.0663196753664843,0.00123757661764256
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5324460229496562,1.4821613544184438,0.8887698409123425,-0.6020858809313347,1.0663196753664843,0.0002461731886854085
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5324460229496562,1.4821613544184438,0.8887698409123425,-0.6020858809313347,1.0663196753664843,0.008773269016126342
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5324460229496562,1.4821613544184438,0.8887698409123425,-0.6020858809313347,1.0663196753664843,0.010586730036484356
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5324460229496562,1.4821613544184438,0.8887698409123425,-0.6020858809313347,1.0663196753664843,0.015090875358108222
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5324460229496562,1.4821613544184438,0.8887698409123425,-0.6020858809313347,1.0663196753664843,0.025521680905467324
